filename,split
00000.ppm,val
00001.ppm,train
00002.ppm,train
00003.ppm,val
00004.ppm,train
00005.ppm,train
00006.ppm,test
00007.ppm,val
00008.ppm,train
00009.ppm,train
00010.ppm,train
00011.ppm,val
00012.ppm,train
00013.ppm,train
00014.ppm,train
00015.ppm,train
00016.ppm,train
00017.ppm,train
00018.ppm,train
00019.ppm,val
00020.ppm,train
00021.ppm,val
00022.ppm,train
00023.ppm,train
00024.ppm,train
00025.ppm,test
00026.ppm,train
00027.ppm,test
00028.ppm,train
00029.ppm,train
00030.ppm,test
00031.ppm,train
00032.ppm,test
00033.ppm,train
00034.ppm,train
00035.ppm,train
00036.ppm,train
00037.ppm,train
00038.ppm,train
00039.ppm,train
00040.ppm,train
00041.ppm,train
00042.ppm,train
00043.ppm,train
00044.ppm,test
00045.ppm,train
00046.ppm,test
00047.ppm,train
00048.ppm,val
00049.ppm,train
00050.ppm,train
00051.ppm,train
00052.ppm,train
00053.ppm,train
00054.ppm,train
00055.ppm,train
00056.ppm,train
00057.ppm,val
00058.ppm,train
00059.ppm,val
00060.ppm,val
00061.ppm,train
00062.ppm,train
00063.ppm,train
00064.ppm,train
00065.ppm,val
00066.ppm,train
00067.ppm,val
00068.ppm,train
00069.ppm,val
00070.ppm,val
00071.ppm,test
00072.ppm,val
00073.ppm,val
00074.ppm,train
00075.ppm,train
00076.ppm,train
00077.ppm,train
00078.ppm,train
00079.ppm,train
00080.ppm,test
00081.ppm,test
00082.ppm,train
00083.ppm,train
00084.ppm,train
00085.ppm,train
00086.ppm,train
00087.ppm,val
00088.ppm,train
00089.ppm,test
00090.ppm,train
00091.ppm,train
00092.ppm,train
00093.ppm,val
00094.ppm,test
00095.ppm,test
00096.ppm,val
00097.ppm,train
00098.ppm,train
00099.ppm,test
00100.ppm,train
00101.ppm,train
00102.ppm,train
00103.ppm,test
00104.ppm,test
00105.ppm,train
00106.ppm,train
00107.ppm,train
00109.ppm,val
00110.ppm,train
00111.ppm,train
00112.ppm,train
00113.ppm,val
00114.ppm,train
00115.ppm,test
00116.ppm,train
00117.ppm,train
00118.ppm,val
00119.ppm,train
00120.ppm,train
00121.ppm,train
00122.ppm,train
00123.ppm,train
00124.ppm,val
00125.ppm,train
00126.ppm,train
00127.ppm,train
00128.ppm,test
00129.ppm,val
00130.ppm,train
00131.ppm,train
00132.ppm,val
00133.ppm,train
00134.ppm,train
00135.ppm,train
00136.ppm,val
00137.ppm,train
00138.ppm,train
00140.ppm,train
00141.ppm,train
00142.ppm,train
00143.ppm,val
00144.ppm,test
00146.ppm,train
00147.ppm,train
00148.ppm,train
00149.ppm,val
00150.ppm,train
00151.ppm,train
00152.ppm,train
00153.ppm,train
00154.ppm,train
00155.ppm,train
00156.ppm,train
00157.ppm,train
00158.ppm,train
00159.ppm,val
00160.ppm,train
00161.ppm,train
00162.ppm,test
00163.ppm,train
00164.ppm,val
00165.ppm,train
00166.ppm,test
00167.ppm,train
00168.ppm,val
